,year,urban_population_percent,fertility_rate,child_population,GDP_in_dollars,life_expectancy
0,2018,82.256,1.7295,18.7090399824651,62996.4712852605,78.5390243902439
1,2017,82.058,1.7655,18.8585280818274,60062.2223132211,78.5390243902439
2,2016,81.862,1.8205,19.0233424818483,57951.5840820997,78.5390243902439
3,2015,81.671,1.8435,19.2237265896844,56839.3817742317,78.690243902439
4,2014,81.483,1.8625,19.4162424175389,55064.7445483427,78.8414634146341
5,2013,81.299,1.8575,19.6170488180396,53117.6678498178,78.7414634146342
6,2012,81.119,1.8805,19.8231699369023,51610.6052783379,78.7414634146342
7,2011,80.944,1.8945,20.0251330582403,49886.8181094923,78.6414634146341
8,2010,80.772,1.931,20.2048008087726,48467.5157769259,78.5414634146342
9,2009,80.606,2.002,20.3592671936831,47099.9804711343,78.390243902439
10,2008,80.438,2.072,20.5248388845019,48382.5584490552,78.0390243902439
11,2007,80.269,2.12,20.6899078668217,47975.9676958038,77.9878048780488
12,2006,80.099,2.108,20.8175274142624,46298.7314440927,77.6878048780488
13,2005,79.928,2.057,20.8811342294238,44114.7477810544,77.4878048780488
14,2004,79.757,2.0515,21.0999066756788,41712.8010675545,77.4878048780488
15,2003,79.583,2.0475,21.2681712378164,39496.4858751381,77.0365853658537
16,2002,79.409,2.0205,21.3962336126125,38023.1611144021,76.9365853658537
17,2001,79.234,2.0305,21.5285035933618,37133.2428088526,76.8365853658537
18,2000,79.057,2.056,21.702880167839,36334.9087770589,76.6365853658537
19,1999,78.742,2.0075,21.8117417042619,34513.5615037271,76.5829268292683
20,1998,78.377,1.999,21.9165411215449,32853.6769523009,76.5804878048781
21,1997,78.008,1.971,22.0060093782191,31459.1389804773,76.4292682926829
22,1996,77.636,1.976,22.0472291496015,29967.7127181749,76.0268292682927
23,1995,77.257,1.978,22.0152634365607,28690.8757013347,75.6219512195122
24,1994,76.875,2.0015,22.0247443502355,27694.853416234,75.619512195122
25,1993,76.488,2.0195,21.9892262356465,26387.2937338171,75.419512195122
26,1992,76.097,2.046,21.910086653632,25418.9907763319,75.6170731707317
27,1991,75.701,2.0625,21.8002814260128,24342.2589048189,75.3658536585366
28,1990,75.3,2.081,21.6744978683966,23888.6000088133,75.2146341463415
29,1989,75.089,2.014,21.6409886034805,22857.1544330056,75.0170731707317
30,1988,74.942,1.934,21.6112401348277,21417.0119305191,74.7658536585366
31,1987,74.793,1.872,21.5916142868303,20038.9410992658,74.7658536585366
32,1986,74.644,1.8375,21.5867578879806,19071.2271949295,74.6146341463415
33,1985,74.494,1.844,21.6005878590556,18236.8277265009,74.5634146341464
34,1984,74.344,1.8065,21.7290639508345,17121.2254849995,74.5634146341464
35,1983,74.194,1.799,21.8895432372525,15543.8937174925,74.4634146341463
36,1982,74.042,1.8275,22.0915347840641,14433.787727053,74.3609756097561
37,1981,73.89,1.812,22.351369837247,13976.1097504641,74.009756097561
38,1980,73.738,1.8395,22.6731609131283,12574.7915062163,73.609756097561
39,1979,73.692,1.808,23.07752106479,11674.1863100131,73.8048780487805
40,1978,73.682,1.76,23.5451728545159,10564.9482220275,73.3560975609756
41,1977,73.673,1.79,24.0502397861878,9452.57651914511,73.2560975609756
42,1976,73.663,1.738,24.5468178419943,8592.25353727612,72.8560975609756
43,1975,73.653,1.774,25.0051046129913,7801.45666356443,72.6048780487805
44,1974,73.643,1.835,25.6398850066994,7225.69135952566,71.9560975609756
45,1973,73.633,1.879,26.2626187095934,6726.35895596695,71.3560975609756
46,1972,73.623,2.01,26.8691392136239,6094.01798986165,71.1560975609756
47,1971,73.613,2.266,27.4745034237869,5609.38259952519,71.1073170731707
48,1970,73.602,2.48,28.0974599130659,5234.2966662115,70.8073170731707
49,1969,73.333,2.456,28.5725953867033,5032.14474262003,70.5073170731708
50,1968,72.974,2.464,29.0059689001698,4695.92339043178,69.9512195121951
51,1967,72.612,2.558,29.3959954308152,4336.42658722171,70.5609756097561
52,1966,72.247,2.721,29.7485227030028,4146.31664631665,70.2121951219512
53,1965,71.879,2.913,30.0679155376883,3827.52710972039,70.2146341463415
54,1964,71.508,3.19,30.3429251946364,3573.94118474743,70.1658536585366
55,1963,71.134,3.319,30.5803566172629,3374.51517105082,69.9170731707317
56,1962,70.757,3.461,30.7525141754558,3243.84307754988,70.119512195122
57,1961,70.377,3.62,30.8025881521672,3066.56286916615,70.2707317073171
58,1960,69.996,3.654,30.6910806308535,3007.12344537862,69.7707317073171
