,year,urban_population_percent,fertility_rate,child_population,GDP_in_dollars,life_expectancy
0,2018,55.2707519395299,2.41497365215906,25.7959668501078,11385.5528697407,72.5632818899911
1,2017,54.8231822164671,2.42813759864509,25.9352622398387,10827.6585821628,72.3855806225257
2,2016,54.3703775989074,2.44551849764072,26.0741218255802,10286.3416441792,72.1807606182002
3,2015,53.9143080984766,2.45620793555855,26.2157038039339,10249.0722666047,71.9474029191807
4,2014,53.4579686571498,2.46559302752931,26.3694517661476,10952.676429885,71.7422781702121
5,2013,53.0055896979593,2.47296551803553,26.5292488543251,10783.8576157634,71.4621521177806
6,2012,52.5550621829435,2.48933421962232,26.6941201110473,10607.4393002027,71.1716493714594
7,2011,52.1039535232011,2.49876011611391,26.8583231763257,10490.0494136011,70.8840681447193
8,2010,51.6462789637349,2.51636271738964,27.0154361665415,9553.18488506854,70.5561596409979
9,2009,51.1491289921363,2.53424938180719,27.2092515522784,8832.46296412709,70.2465385233036
10,2008,50.6491847421093,2.55502606076689,27.4069445192406,9425.77793524421,69.8992697917814
11,2007,50.1445259863761,2.56709209581695,27.6218605497207,8696.70202234655,69.5920508487477
12,2006,49.6532929609507,2.57709628970789,27.8758956076623,7813.48486244137,69.2624024165085
13,2005,49.1525979861818,2.58798217921513,28.1777542186571,7298.62245266402,68.9203040065116
14,2004,48.6436614103251,2.60854389274464,28.5406214625705,6821.77491757355,68.6523317434611
15,2003,48.1378578966767,2.62482413528457,28.9637193859984,6131.75833943399,68.3269805462356
16,2002,47.6362248759795,2.6436885910546,29.4135464814061,5533.84646357555,68.0704189624653
17,2001,47.1375465347238,2.66630103686102,29.8247211478872,5397.58050211128,67.8217974671813
18,2000,46.6893226033698,2.69600289835451,30.1581954933471,5499.15099970509,67.5492493860582
19,1999,46.3078595434497,2.71636326186327,30.5527923951653,5396.17289714688,67.2931461215286
20,1998,45.935449855007,2.74618064917299,30.8736968093339,5272.70858957304,67.0868314966718
21,1997,45.5668413264956,2.77710201796751,31.1421103466398,5357.08522665986,66.8446447735632
22,1996,45.2029333856106,2.8169700628232,31.4230582114401,5453.38368116886,66.5598345632865
23,1995,44.841875232048,2.86256281991574,31.7657147967095,5412.43948185318,66.2781694722493
24,1994,44.4661764393704,2.92192046896787,32.0213283542734,4939.85071661465,66.0895466777697
25,1993,44.1043897805346,2.98770925492495,32.2831885945288,4669.57620656826,65.8876310227616
26,1992,43.7404225780443,3.07160490085154,32.5354202738466,4668.27099033958,65.7705534540177
27,1991,43.3968427813328,3.1573927390785,32.7374651115288,4464.68980162991,65.619466548344
28,1990,43.0291132259427,3.24847233263099,32.857335446725,4285.28148676033,65.4334071014792
29,1989,42.6657928350339,3.32433333818745,33.0653111859746,3870.44240987221,65.2473929332173
30,1988,42.3110143236973,3.39892599605934,33.2615538293144,3772.43555128708,65.0348734225707
31,1987,41.9463730002496,3.45515260117127,33.4488813394704,3431.61815911397,64.8308622391584
32,1986,41.581086245158,3.49952049874231,33.6304375290527,3069.9481896722,64.5797331158739
33,1985,41.2163779728535,3.53601583072615,33.8001085230927,2643.78571861714,64.2790529304594
34,1984,40.8563770886757,3.56422024651249,34.0920343944003,2561.0260389383,64.021544812267
35,1983,40.4990754552592,3.59458756678014,34.3870913439899,2513.17357584728,63.7570213405169
36,1982,40.1526083210922,3.62716854322908,34.6845505483879,2507.36770217947,63.5089165542057
37,1981,39.7717414105372,3.65661997185916,34.9957566050739,2576.73411252012,63.1825051301014
38,1980,39.349455046289,3.71366455336017,35.3309495552154,2532.80907242512,62.8416697599098
39,1979,38.9385331597933,3.77342529261547,35.6819916586941,2288.70422080515,62.5554089049371
40,1978,38.5341550200577,3.84308026046457,36.030228098018,2005.14093185888,62.1933744312935
41,1977,38.198505740844,3.93674237473223,36.3553794019589,1729.55691169393,61.8326344624398
42,1976,37.9393933326123,4.0403838194639,36.6324369695268,1556.84304824798,61.4087899009065
43,1975,37.6889318263555,4.15665098239903,36.8450164036243,1457.18194522079,60.9867299301257
44,1974,37.4590890632585,4.28877075154831,37.0742727611223,1332.830106832,60.540663926141
45,1973,37.1860442182949,4.41090651382013,37.2454427174823,1178.11041911071,60.0451206090567
46,1972,36.9566426088014,4.539701807675,37.3667135809939,984.546851974093,59.5965088402676
47,1971,36.7491340433061,4.66926728006582,37.4661458331342,870.452176654244,59.1104608959325
48,1970,36.5633899800975,4.77774090595071,37.5427809194869,803.997989095652,58.583186207222
49,1969,36.3747826501379,4.85508407145846,37.6788199537643,749.72898633275,57.995668167541
50,1968,36.1700481907989,4.92204007207827,37.8301225022156,693.90468360703,57.3864764784578
51,1967,35.9716897730979,4.97237478537065,37.9573703083159,655.877025735657,56.7873249076207
52,1966,35.7626661339891,4.99090712015203,38.0038269486582,628.742184174057,56.0826177061992
53,1965,35.5657371507609,5.0396784826829,37.9162745541187,591.721398070691,55.3511099371757
54,1964,35.3451242645468,5.05542177977725,37.9023295480519,554.556429479401,54.6919227433413
55,1963,34.9526321995981,5.04449803454967,37.7813235398406,516.618066020482,54.0220242559722
56,1962,34.5659494331548,5.02432921822342,37.5715151362205,489.54994318759,53.4967984756948
57,1961,34.124190862268,5.00256130999119,37.349397841299,463.831558941772,53.0795428639951
58,1960,33.6109706997912,4.98011487596677,37.1727692494542,451.746910814326,52.578366546371
