,GENDER,EDUCATION,MARITAL STATUS,UNION MEMBERSHIP OF RESPONDENT,UNION MEMBERSHIP OF OTHERS IN HOUSEHOLD,CURRENT EMPLOYMENT STATUS,RELIGIOUS SERVICES ATTENDANCE,age,voted
0,2,3,1,2,2,8,6,42,1
1,2,2,1,2,2,7,5,67,1
2,1,6,4,1,1,1,1,55,1
3,2,4,1,2,2,1,2,43,1
4,1,1,1,1,2,1,1,66,1
5,2,2,4,2,2,8,5,59,1
6,1,5,1,2,2,1,1,49,1
7,2,4,1,2,2,8,2,31,1
8,1,4,1,2,2,1,1,44,1
9,2,3,1,2,2,7,5,53,1
10,1,4,4,2,2,1,6,26,1
11,2,3,1,2,2,1,5,70,1
12,1,3,1,2,2,5,1,56,1
13,2,3,4,2,2,6,1,24,0
14,2,6,1,2,2,7,3,76,1
15,1,4,1,2,2,1,6,39,1
16,1,2,4,2,2,1,2,60,1
17,2,1,2,2,2,7,6,68,1
18,2,3,1,2,1,1,1,44,1
19,1,2,3,2,2,7,6,70,1
20,1,3,4,2,2,1,6,54,1
21,2,4,4,2,2,1,2,37,1
22,2,3,4,2,2,6,6,24,0
23,1,3,4,1,1,6,4,24,0
24,1,3,1,2,2,1,1,49,1
25,1,6,1,2,2,1,6,62,0
26,1,2,3,2,2,1,1,53,1
27,1,2,1,2,2,5,1,38,1
28,2,4,1,2,2,8,2,36,1
29,2,4,4,2,2,8,2,37,1
30,1,4,4,2,2,1,1,36,1
31,2,4,4,1,1,8,1,29,1
32,2,3,1,2,1,1,6,35,1
33,2,4,1,2,2,1,1,42,1
34,1,3,4,2,2,1,2,30,1
35,1,4,1,2,2,1,1,66,1
36,2,4,1,2,2,8,1,31,1
37,2,4,3,2,2,1,4,56,0
38,1,2,1,2,2,1,6,42,1
39,2,4,1,2,2,1,6,45,1
40,2,3,1,2,2,8,3,62,1
41,2,6,1,2,2,1,4,73,1
42,1,3,4,2,2,5,1,27,1
43,1,2,1,2,2,1,1,48,1
44,1,6,4,2,2,1,4,32,1
45,1,3,1,1,2,1,3,69,1
46,2,2,4,2,2,1,1,56,1
47,1,2,1,2,2,1,3,68,1
48,2,4,4,2,1,1,1,32,1
49,2,5,1,2,2,8,2,68,1
50,1,3,4,2,2,5,5,34,1
51,2,2,2,2,2,1,1,57,0
52,2,2,2,2,2,7,6,78,0
53,2,2,1,2,2,1,1,28,0
54,1,4,4,2,2,1,2,36,1
55,2,3,4,2,2,1,2,52,1
56,2,4,1,2,2,8,4,63,0
57,2,1,2,2,2,7,3,80,0
58,2,5,4,2,1,6,3,25,1
59,2,5,1,1,1,1,6,51,1
60,2,5,3,2,2,1,1,32,1
61,2,2,4,2,2,1,1,35,1
62,2,2,1,2,2,10,2,65,1
63,1,3,4,2,2,7,2,76,1
64,1,2,3,2,2,1,1,64,1
65,2,4,4,2,2,1,1,34,1
66,1,7,2,1,2,1,4,75,1
67,1,3,1,2,2,1,5,46,1
68,2,4,1,2,2,1,1,36,0
69,1,4,1,1,2,1,1,47,1
70,1,4,1,2,2,1,4,42,1
71,2,6,1,2,2,8,2,46,1
72,2,1,1,2,2,8,6,74,1
73,2,7,4,2,2,1,3,53,1
74,2,1,4,2,2,1,2,30,1
75,1,5,1,2,2,1,2,41,0
76,2,4,4,2,2,5,1,45,1
77,2,4,1,1,2,1,4,67,1
78,1,4,3,2,2,1,2,32,1
79,2,3,1,2,2,8,6,36,1
80,1,7,4,2,2,1,1,36,1
81,2,4,4,2,2,6,6,25,0
82,1,1,1,2,2,1,4,49,1
83,1,2,3,1,2,1,2,67,1
84,2,3,1,2,2,1,6,73,1
85,1,4,1,2,2,1,1,53,1
86,2,2,1,2,2,7,3,79,1
87,2,4,3,2,2,8,1,62,1
88,2,5,3,2,2,7,3,67,1
89,2,4,4,2,2,1,3,39,1
90,2,5,4,2,2,6,6,24,0
91,2,7,4,1,1,1,1,39,1
92,2,3,4,2,2,7,2,40,1
93,1,4,4,2,2,6,5,24,0
94,1,1,2,2,2,7,6,76,1
95,1,4,4,2,2,1,6,66,1
96,1,4,4,2,2,1,3,48,1
97,1,7,4,2,2,1,3,46,1
98,2,2,1,2,2,1,2,46,1
99,2,2,4,2,2,5,1,50,1
100,1,1,1,2,2,7,3,82,1
101,1,5,4,2,1,1,1,31,1
102,1,4,4,2,2,7,2,58,1
103,1,3,3,2,2,1,2,66,0
104,2,4,1,2,2,8,3,30,1
105,1,2,1,2,2,1,2,54,1
106,2,6,3,2,2,1,3,46,1
107,2,4,1,2,2,8,3,69,1
108,2,2,4,2,2,8,4,78,1
109,2,2,1,2,2,8,6,64,1
110,1,5,3,2,2,5,2,54,1
111,2,2,4,2,2,1,1,55,1
112,1,4,4,2,2,6,2,24,1
113,2,3,4,2,2,8,6,36,1
114,2,2,3,2,2,7,5,80,1
115,1,2,4,2,2,7,1,70,1
116,1,3,1,1,2,1,2,38,1
117,1,2,1,1,2,7,1,67,1
118,1,2,1,2,2,7,6,43,1
119,2,2,1,2,2,1,6,61,1
120,1,4,1,1,2,1,6,48,0
121,2,3,1,2,2,8,6,38,1
122,1,5,1,2,2,5,1,35,1
123,2,4,4,2,2,1,6,26,0
124,1,3,4,2,1,1,6,28,0
125,1,5,4,2,2,1,2,67,1
126,2,5,4,2,2,1,2,25,0
127,2,2,4,2,2,6,1,25,1
128,2,3,1,2,2,1,2,44,1
129,1,4,1,1,1,1,3,48,1
130,1,3,1,2,2,1,6,27,1
131,1,2,4,2,2,5,2,47,1
132,1,2,1,2,2,1,1,61,1
133,2,2,2,2,2,7,1,83,1
134,2,4,3,2,2,1,2,68,1
135,2,2,1,2,2,10,2,53,1
136,2,5,4,2,2,6,1,24,0
137,2,4,4,2,2,8,1,38,1
138,2,4,1,2,2,8,2,54,1
139,2,5,4,2,2,1,1,33,1
140,2,3,4,2,2,5,6,25,0
141,1,4,4,2,2,1,3,33,1
142,1,4,4,2,2,1,6,27,1
143,2,5,4,2,2,6,3,24,0
144,2,2,1,2,2,8,1,33,1
145,2,3,1,2,2,8,1,32,1
146,2,3,3,2,2,1,1,57,1
147,2,5,1,2,2,8,4,48,1
148,2,2,3,2,2,8,6,53,1
149,1,2,1,2,1,1,5,66,1
150,1,8,4,1,2,1,1,59,0
151,2,6,1,2,2,8,5,62,1
152,1,2,1,2,2,1,3,54,1
153,2,1,2,2,2,1,6,57,1
154,1,5,1,1,1,1,1,35,1
155,2,5,4,2,2,6,6,30,1
156,1,4,4,2,2,1,1,44,1
157,2,5,1,2,2,1,2,31,1
158,2,5,1,2,2,7,3,85,1
159,2,3,3,2,2,1,2,38,1
160,2,4,3,2,2,1,1,50,1
161,2,2,1,2,2,8,5,71,1
162,2,2,1,2,2,1,2,41,1
163,2,4,3,2,2,8,6,53,0
164,1,1,4,2,1,1,2,25,0
165,2,4,4,2,2,8,4,25,0
166,2,6,1,1,2,1,4,57,1
167,2,3,1,2,2,5,3,48,1
168,1,2,1,1,2,7,4,83,1
169,1,2,3,2,2,1,4,53,1
170,2,4,1,2,2,1,1,48,1
171,2,2,1,2,1,1,3,46,1
172,1,4,1,2,2,1,2,66,1
173,2,1,2,2,2,7,1,62,1
174,1,1,1,2,2,7,6,83,1
175,1,4,4,2,2,6,4,26,1
176,2,7,1,2,2,1,2,39,1
177,2,5,1,2,2,1,5,37,1
178,1,4,1,2,2,1,2,28,0
179,1,5,4,2,2,6,3,25,0
180,1,3,4,2,2,1,4,24,0
181,1,1,1,2,2,7,1,68,1
182,1,3,4,2,2,5,1,33,0
183,1,1,3,1,2,1,4,61,1
184,2,2,1,2,2,1,6,67,1
185,2,5,4,2,2,6,2,30,1
186,2,1,1,2,2,1,1,56,1
187,2,5,2,2,2,7,5,67,1
188,1,3,1,2,2,1,1,38,0
189,1,1,1,2,2,7,5,76,1
190,1,4,1,2,2,1,1,46,1
191,1,6,1,1,1,1,3,60,1
192,1,2,1,2,2,1,1,66,1
193,2,2,4,2,2,7,4,77,1
194,2,6,3,2,2,1,1,41,1
195,2,2,3,2,2,1,3,57,0
196,1,2,1,1,2,1,1,31,1
197,1,4,4,2,2,1,4,42,1
198,1,2,4,2,2,1,2,48,1
199,1,4,1,2,2,1,4,37,1
200,2,6,4,2,2,1,4,38,1
201,1,5,4,2,2,6,6,27,1
202,2,2,3,2,2,1,6,46,1
203,1,5,4,2,2,1,5,37,1
204,1,3,4,2,2,5,1,28,1
205,2,4,1,2,2,8,3,72,1
206,2,4,1,2,2,1,4,58,0
207,2,1,1,2,2,8,5,69,1
208,2,2,1,2,2,7,6,71,1
209,2,3,1,2,2,8,3,36,0
210,2,4,1,2,2,5,1,37,0
211,1,1,1,2,2,1,2,51,1
212,2,4,4,2,2,8,1,35,1
213,1,2,2,2,2,7,1,75,1
214,2,1,1,2,2,7,3,78,1
215,1,3,1,2,2,1,2,50,1
216,2,3,4,2,2,1,1,28,0
217,2,4,1,2,2,8,6,41,1
218,2,4,1,2,2,1,2,52,1
219,2,4,1,2,2,7,3,78,1
220,2,4,1,2,1,1,3,30,1
221,2,6,4,2,1,6,6,29,1
222,2,4,3,2,2,1,6,67,1
223,1,7,1,1,2,1,1,51,1
224,2,4,1,2,2,8,1,31,1
225,1,2,4,2,2,1,2,54,1
226,2,3,1,2,2,8,1,40,1
227,2,2,4,2,2,1,6,48,1
228,1,4,4,2,2,1,5,41,1
229,1,2,4,2,2,1,1,24,0
230,1,2,4,2,2,1,1,51,1
231,1,3,4,2,2,1,2,26,0
232,2,7,1,1,1,1,1,64,1
233,2,4,4,2,2,1,3,51,0
234,1,5,4,2,2,1,1,43,1
235,1,1,4,2,2,7,1,79,0
236,2,4,1,2,2,8,1,44,1
237,1,2,1,2,2,5,2,47,1
238,2,7,4,2,2,1,5,66,1
239,2,4,1,2,2,8,5,31,1
240,1,4,4,2,2,6,5,26,0
241,2,3,4,2,2,5,1,30,1
242,2,4,3,2,2,1,1,76,0
243,1,4,4,2,2,6,3,24,0
244,1,4,3,2,2,10,3,61,1
245,2,3,1,2,1,10,1,61,0
246,1,2,1,2,2,1,1,56,1
247,2,2,4,1,2,1,6,82,1
248,1,2,4,2,2,1,1,25,0
249,2,6,4,2,2,5,2,43,1
250,2,3,3,2,2,1,3,52,1
251,2,3,1,2,2,1,2,51,1
252,2,3,4,1,1,1,2,33,1
253,2,4,1,2,2,1,5,58,1
254,2,3,4,2,2,8,2,31,1
255,2,4,1,2,2,1,1,41,1
256,2,2,1,2,2,8,1,46,1
257,1,3,1,2,2,6,5,24,0
258,2,6,1,1,2,1,1,31,1
259,2,2,2,2,2,7,3,68,0
260,2,2,1,2,1,1,1,48,1
261,1,2,1,2,2,7,6,67,1
262,2,3,2,2,2,1,4,51,1
263,1,4,3,2,2,5,4,68,1
264,1,2,1,2,2,1,2,52,1
265,1,3,3,2,2,1,1,77,1
266,2,4,4,1,2,1,1,49,1
267,2,3,1,2,2,8,1,49,1
268,2,2,1,2,2,7,1,66,1
269,1,2,4,2,2,1,1,33,1
270,2,6,1,2,2,8,2,60,1
271,2,3,2,2,2,7,6,75,1
272,2,3,1,2,1,1,6,34,1
273,1,2,1,1,2,1,1,45,1
274,2,2,1,2,1,10,6,56,1
275,1,3,1,1,1,1,2,31,1
276,1,2,4,2,2,1,6,55,1
277,1,4,1,2,2,1,2,44,1
278,1,5,1,2,2,1,2,44,1
279,1,2,1,2,2,7,1,82,1
280,2,4,1,2,2,1,3,31,1
281,1,2,1,2,2,7,2,71,1
282,2,3,4,2,2,1,1,38,1
283,2,2,1,2,2,7,6,82,1
284,1,1,4,2,2,7,1,75,0
285,2,5,4,2,2,6,3,26,0
286,2,4,1,2,2,1,6,54,1
287,2,4,1,2,2,8,3,67,0
288,1,4,1,2,2,1,4,44,1
289,2,6,4,2,2,1,6,40,1
290,2,5,4,2,2,6,1,32,1
291,2,4,4,2,2,6,2,25,0
292,2,3,1,2,2,8,6,28,1
293,2,3,1,2,2,1,3,45,0
294,2,5,4,2,1,8,1,26,0
295,2,3,4,2,2,8,1,30,1
296,2,4,1,2,2,7,1,82,1
297,2,5,1,2,2,8,4,55,1
298,1,1,1,2,2,7,2,66,1
299,2,4,1,2,2,1,1,47,1
300,1,3,1,2,2,1,1,51,1
301,2,5,1,2,2,1,1,40,1
302,1,4,1,2,2,1,1,43,1
303,1,2,4,2,2,1,1,29,1
304,2,3,1,2,2,8,4,37,1
305,2,3,1,2,2,8,6,60,1
306,1,4,4,2,2,5,2,24,0
307,1,2,1,2,2,1,2,46,1
308,1,3,1,2,2,10,5,34,0
309,1,2,1,2,2,7,6,65,1
310,2,5,4,2,2,6,4,26,0
311,1,2,1,2,2,1,1,50,1
312,2,2,1,2,2,1,4,57,1
313,1,1,1,2,2,7,3,81,0
314,1,5,1,2,2,7,1,72,1
315,2,4,1,2,2,8,1,57,1
316,1,4,1,2,2,1,3,33,1
317,2,4,4,2,2,5,1,50,0
318,1,1,2,2,2,7,1,89,0
319,2,2,1,2,2,1,2,62,1
320,2,4,4,2,2,6,1,24,0
321,1,4,1,2,2,1,5,55,1
322,2,2,1,1,2,1,2,54,1
323,2,2,1,2,2,10,5,59,1
324,1,3,4,2,1,6,1,24,0
325,2,3,1,2,2,8,2,46,1
326,1,4,1,2,1,1,3,34,1
327,2,4,1,2,2,8,3,30,1
328,2,6,1,2,2,1,4,50,1
329,1,5,4,2,2,1,1,32,1
330,1,2,4,2,2,1,1,55,1
331,2,2,1,2,2,1,6,58,1
332,2,6,4,2,2,1,2,30,1
333,2,3,2,2,2,7,1,79,1
334,1,5,4,2,2,5,1,41,0
335,2,4,1,1,1,8,1,28,0
336,2,2,1,2,2,8,5,82,1
337,1,5,4,2,2,1,1,30,1
338,2,2,1,2,2,8,2,69,1
339,1,2,4,2,2,1,2,34,0
340,2,4,1,1,2,1,2,52,1
341,1,3,1,2,2,1,1,36,1
342,2,4,4,2,2,8,5,27,0
343,1,5,4,2,2,6,6,26,1
344,1,4,4,2,2,1,1,43,1
345,1,3,4,2,2,5,1,63,1
346,2,4,4,2,2,6,4,25,0
347,2,3,3,2,1,1,4,46,0
348,1,2,2,2,2,7,1,83,1
349,1,2,1,2,2,1,1,64,1
350,2,2,3,2,2,1,2,68,1
351,2,1,2,2,2,8,3,67,1
352,2,4,4,2,2,8,3,45,1
353,1,3,4,2,2,1,6,26,0
354,2,2,1,2,2,1,1,33,1
355,1,1,1,2,2,7,3,75,1
356,2,2,3,1,2,1,3,64,1
357,2,4,1,2,2,8,6,25,0
358,2,4,3,2,2,1,2,56,1
359,2,4,4,2,2,8,1,37,1
360,2,5,3,2,2,7,4,83,1
361,1,2,4,2,2,5,2,54,0
362,2,2,1,2,2,8,3,44,1
363,1,2,4,2,2,7,6,45,0
364,2,3,4,2,2,7,5,61,1
365,1,3,2,2,2,7,2,76,1
366,2,6,1,2,2,1,6,44,1
367,1,5,3,1,2,1,3,46,1
368,2,6,1,1,1,1,5,46,1
369,1,2,1,2,2,1,1,57,1
370,2,4,4,2,2,6,1,31,1
371,2,3,1,2,1,8,1,31,1
372,2,3,1,2,2,1,6,34,1
373,1,4,1,2,2,7,3,72,1
374,2,4,1,2,2,8,2,45,1
375,1,4,1,2,2,1,6,45,1
376,2,4,4,2,2,8,1,44,1
377,2,2,1,2,1,8,1,50,1
378,2,4,4,2,2,8,1,30,1
379,1,4,1,2,2,7,6,71,1
380,2,5,4,2,2,8,1,29,1
381,2,2,1,2,2,8,5,30,0
382,2,2,3,2,1,7,5,70,1
383,2,3,1,2,1,1,1,32,0
