,silent_gen,boomers,gen_x,gen_y,gen_z,gen_alpha
2023,0.048913449319890764,0.17085916337156898,0.274636968624884,0.32239657649910725,0.18319384218454898,0.0
2022,0.048374880070565285,0.18067305616985654,0.27858098071183823,0.32675751479740667,0.16561356825033327,0.0
2021,0.04783215348767347,0.19025113447922493,0.2826850264605927,0.3313099722592297,0.14792171331327925,0.0
2020,0.047370349866147646,0.19942294015784942,0.28700503855294385,0.33607806162966913,0.13012360979339,0.0
2019,0.05260669782121394,0.20445959243075593,0.29084654636081614,0.34078435223321785,0.11130281115399615,0.0
2018,0.05765479882186995,0.2101382180393633,0.29592146431505534,0.3456208387254233,0.09066468009828808,0.0
2017,0.06282773335106592,0.21574975171006344,0.30133543224234915,0.351072760470174,0.06901432222634751,0.0
2016,0.06828357754694611,0.22134077964777116,0.3067146459531966,0.3569676239247213,0.04669337292736486,0.0
2015,0.07407958816095186,0.2270574188071423,0.3121355917277799,0.36307915984805544,0.023648241456070543,0.0
2014,0.07991314283780962,0.23287337490996204,0.3180370196762072,0.36917646257602116,0.0,0.0
2013,0.08572337240406765,0.2382876376915871,0.3239431328833984,0.3520458570209469,0.0,0.0
2012,0.09202712145658816,0.24425179384383286,0.3295365409903918,0.33418454370918715,0.0,0.0
2011,0.09826502692897005,0.2500484187383997,0.3359733481423988,0.3157132061902314,0.0,0.0
2010,0.10441732860858093,0.25588210997347594,0.34254141989713166,0.29715914152081147,0.0,0.0
2009,0.11051577311182297,0.26177611353154334,0.3491820517401423,0.2785260616164914,0.0,0.0
2008,0.11694899000015484,0.26929604183480005,0.356274708990901,0.2574802591741441,0.0,0.0
2007,0.1285970350862329,0.2744045764901946,0.36121332732720807,0.23578506109636446,0.0,0.0
