,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75+
2020,1081967,1179294,1250730,1294378,1315338,1333047,1349141,1296952,1295131,1252322,1264849,1271730,1312669,1304256,1266433,1248172,1227531,1206717,1228828,1318866,1337749,1353607,1345194,1335561,1291525,1279239,1316766,1286301,1244831,1243817,1246193,1268998,1268088,1262933,1272682,1263439,1274979,1253385,1279033,1402747,1351247,1294311,1255177,1213598,1120777,1064455,1193144,1159702,1103997,1042368,1015452,983070,909924,793081,883105,1084782,1011765,877959,856312,746769,865918,782714,657390,582441,685931,801749,647429,554197,513530,421810,528810,499685,416183,370612,316415,2883135
2019,1152226,1249728,1294179,1315616,1333387,1349589,1297385,1295822,1252767,1265476,1272307,1313236,1304694,1266910,1249023,1228816,1207486,1228151,1319650,1347491,1353014,1348186,1340792,1296935,1285151,1322939,1292369,1250582,1249439,1251982,1274668,1273455,1268269,1278223,1268402,1280018,1258128,1283935,1407372,1355390,1298198,1259143,1217467,1124464,1068112,1196836,1163484,1107832,1046064,1019343,986937,913610,797038,887525,1090263,1017186,883566,862603,752979,873663,790397,664751,589976,695420,814225,658494,564831,524704,431786,542857,514119,429744,384042,329113,359895,2811142
2018,1215156,1287346,1309908,1328339,1344237,1292329,1290659,1248011,1260499,1267422,1308106,1300266,1262374,1244550,1225127,1204096,1222888,1309109,1337844,1350330,1336893,1331716,1288531,1275825,1314164,1283110,1241946,1240944,1243662,1266807,1265388,1261114,1271287,1261651,1273713,1251855,1278171,1402307,1350309,1293430,1254383,1212993,1120350,1064514,1193786,1160350,1105047,1043696,1016930,984684,911562,795248,886475,1090307,1017732,884037,863862,754518,876479,793445,667465,592935,700124,820934,664403,570420,530886,437364,550879,522658,437958,392357,337237,370007,319363,2717075
2017,1241005,1299435,1320128,1336237,1285044,1283268,1240928,1253807,1260812,1301954,1294443,1256788,1239524,1220347,1199768,1219305,1303759,1326736,1341451,1335336,1321022,1280966,1269129,1308867,1276526,1235835,1235090,1238282,1261591,1260744,1256164,1266816,1257020,1269325,1247599,1274203,1398518,1346685,1290088,1251202,1210132,1117713,1062168,1192006,1158800,1103412,1042197,1015636,983236,910673,794307,886114,1091160,1018772,885102,865222,755963,878904,796302,670336,595376,704136,826672,669668,575386,535786,442241,558248,530386,445243,399879,344165,379398,328378,285447,2646214
2016,1257621,1312846,1330836,1280811,1277181,1237092,1250566,1258067,1299409,1292310,1254968,1237872,1218745,1198765,1218693,1303667,1325264,1336427,1332232,1325729,1279005,1267975,1307971,1275744,1235028,1233730,1236843,1260570,1259737,1255161,1265458,1256255,1268172,1246953,1273573,1397754,1346460,1289589,1250677,1209853,1117391,1061861,1192260,1159108,1103697,1042315,1016033,983875,911308,794983,887153,1092779,1020905,887425,867982,758791,882816,800280,674487,599362,709303,833602,675960,581620,542463,447739,565694,538467,453091,407546,352010,389038,337811,294952,306681,2558474
2015,1275773,1324357,1276046,1272573,1232767,1246025,1254290,1295986,1289256,1252162,1235240,1216139,1196409,1216790,1302407,1324334,1334194,1325935,1321236,1279801,1267506,1306838,1274166,1233234,1232423,1234545,1257890,1256906,1251854,1262054,1252970,1265028,1244051,1270683,1395418,1343973,1287459,1248446,1207830,1115615,1060149,1190797,1157818,1102527,1041289,1015088,983155,910447,794374,887015,1093149,1021662,888247,869400,760451,885409,803035,677270,602008,713448,839379,681302,586789,547925,453072,573654,546941,460989,415463,359338,398243,346866,303900,316963,260212,2512670
2014,1282180,1271036,1268519,1229654,1243144,1250908,1293723,1287242,1250343,1233412,1214644,1194979,1215827,1302032,1324787,1335614,1324647,1315791,1276834,1266035,1299058,1271435,1230924,1229875,1232168,1255687,1255184,1249946,1260487,1251898,1263823,1243317,1270237,1395161,1343756,1287013,1248288,1207736,1115127,1060172,1191205,1158372,1103132,1041836,1015792,984060,911196,795116,888281,1095609,1024036,890648,871964,762992,888782,806822,680701,605205,718217,845618,686844,592138,553524,457918,580291,553714,467570,422109,365740,406571,354966,311821,326110,268832,295506,2420023
2013,1229012,1262391,1226023,1240578,1248411,1290772,1285713,1249085,1232158,1213506,1194004,1214945,1301549,1324578,1337089,1325991,1314397,1271500,1262472,1303362,1266002,1229052,1229534,1232656,1256780,1256398,1250788,1261478,1252877,1264791,1244055,1271024,1396172,1344607,1287811,1248920,1208312,1115804,1060740,1192373,1159434,1104019,1042835,1016855,985117,912203,796214,889615,1097672,1026059,892408,874042,765069,891539,809734,683366,607967,721921,850603,691328,596329,558028,461620,585422,559061,472474,427206,370996,413267,361455,318282,334139,276192,304762,274353,2338568
2012,1215424,1219741,1236414,1245342,1282036,1283007,1245676,1231625,1207467,1191189,1213133,1300281,1318487,1339816,1327541,1314316,1264090,1256589,1300422,1270135,1221808,1226400,1228416,1256693,1252772,1249736,1261293,1252239,1261827,1245583,1269384,1393421,1342030,1291370,1248722,1209607,1110724,1056325,1187540,1166981,1101576,1043073,1015220,989823,914368,799474,864884,1102369,1034773,897921,874782,771924,876383,826189,689920,614646,674885,884487,706459,598105,567422,469243,562905,589506,479442,436877,373651,419109,371758,326991,340897,285641,311383,286288,275917,2253491
2011,1183833,1229002,1242948,1265286,1278755,1244302,1229298,1205437,1192662,1212447,1300589,1317884,1340660,1327518,1315954,1268470,1256159,1298079,1269994,1224881,1226856,1228507,1259837,1255800,1253591,1264899,1255816,1264760,1248482,1272276,1396119,1343954,1293624,1250960,1210977,1117423,1059188,1191262,1166550,1098319,1045157,1017043,991361,916428,800785,867303,1105315,1036303,900137,877026,774209,879651,828722,692507,617347,686913,886504,709941,603128,567929,473320,569418,595689,485223,442837,379461,426393,379165,334047,349109,293318,320110,295519,285818,256603,2171172
